date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:40	866/866	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/lightbox/default-skin/preloader.gif	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/lightbox/default-skin/preloader.gif	(from https://designreset.com/cork/ltr/demo4/plugins/lightbox/default-skin/default-skin.css)
12:54:40	8177/8177	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/ab-1.jpeg	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/ab-1.jpg	(from https://designreset.com/cork/ltr/demo4/assets/css/elements/alert.css)
12:54:42	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
12:54:43	14868/14868	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff2	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff2	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
12:54:43	40576/40576	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.eot?	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
12:54:44	18168/18168	---M--	200	added ('OK')	font/woff	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.woff	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
12:54:46	40348/40348	---M--	200	added ('OK')	font/ttf	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.ttf	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.ttf	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
12:54:46	5344/5344	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.eot	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.eot	(from https://designreset.com/cork/ltr/demo4/plugins/dropify/dropify.min.css)
12:54:46	3052/3052	---M--	200	added ('OK')	font/woff	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.woff	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.woff	(from https://designreset.com/cork/ltr/demo4/plugins/dropify/dropify.min.css)
12:54:47	5180/5180	---M--	200	added ('OK')	font/ttf	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.ttf	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.ttf	(from https://designreset.com/cork/ltr/demo4/plugins/dropify/dropify.min.css)
12:54:47	1969/1969	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.svg	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/dropify/fonts/dropify.svg	(from https://designreset.com/cork/ltr/demo4/plugins/dropify/dropify.min.css)
12:54:48	142267/142267	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.svg	D:/cs/cork/designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/webfonts/fa-regular-400.svg	(from https://designreset.com/cork/ltr/demo4/plugins/font-icons/fontawesome/css/regular.css)
